(i(yvlg1.p)) (REAL.A)      (v(p)) (REAL.V)
         -306.69296p          -765.97702m
         -288.71728p          -741.29443m
         -271.51621p          -716.58258m
         -255.05790p          -691.84244m
         -239.31173p          -667.07499m
         -224.24823p          -642.28120m
         -209.83908p          -617.46206m
         -196.05703p          -592.61854m
         -182.87591p          -567.75162m
         -170.27054p          -542.86229m
         -158.21675p          -517.95153m
         -146.69131p          -493.02032m
         -135.67190p          -468.06965m
         -125.13710p          -443.10050m
         -115.06633p          -418.11385m
         -105.43982p          -393.11070m
          -96.23863p          -368.09203m
          -87.44455p          -343.05883m
          -79.04012p          -318.01209m
          -71.00858p          -292.95279m
          -63.33388p          -267.88192m
          -56.00058p          -242.80048m
          -48.99391p          -217.70946m
          -42.29971p          -192.60984m
          -35.90438p          -167.50261m
          -29.79490p          -142.38878m
          -23.95879p          -117.26932m
          -18.38409p           -92.14523m
          -13.05935p           -67.01751m
           -7.97358p           -41.88714m
           -3.11627p           -16.75511m
           -0.00604z            -0.00000f
